uniname,sponame,Name,name,Uni_name,City,Student_pop,Public,City_pop,Cost,username,password,email,dob,hsgraddate,gpa,state,city,major,Uniname,Majorname
Stanford University,Badminton,,,,,,,,,,,,,,,,,,,
Stanford University,Soccer,,,,,,,,,,,,,,,,,,,
University of Southern California,Volleyball,,,,,,,,,,,,,,,,,,,
University of Southern California,Basketball,,,,,,,,,,,,,,,,,,,
Whitter College,Swimming,,,,,,,,,,,,,,,,,,,
Whitter College,Swimming,,,,,,,,,,,,,,,,,,,
University of La Verne,Table Tennis,,,,,,,,,,,,,,,,,,,
University of La Verne,Soccer,,,,,,,,,,,,,,,,,,,
,,Business and Management,,,,,,,,,,,,,,,,,,
,,Nursing,,,,,,,,,,,,,,,,,,
,,Psychology,,,,,,,,,,,,,,,,,,
,,Biology,,,,,,,,,,,,,,,,,,
,,Engineering,,,,,,,,,,,,,,,,,,
,,Education,,,,,,,,,,,,,,,,,,
,,Communications,,,,,,,,,,,,,,,,,,
,,Finance and Accounting,,,,,,,,,,,,,,,,,,
,,Criminal Justice,,,,,,,,,,,,,,,,,,
,,Anthropology,,,,,,,,,,,,,,,,,,
,,Computer Science,,,,,,,,,,,,,,,,,,
,,English,,,,,,,,,,,,,,,,,,
,,Economics,,,,,,,,,,,,,,,,,,
,,Political Science,,,,,,,,,,,,,,,,,,
,,History,,,,,,,,,,,,,,,,,,
,,Kinesiology and Physical Therapy,,,,,,,,,,,,,,,,,,
,,Art,,,,,,,,,,,,,,,,,,
,,Math,,,,,,,,,,,,,,,,,,
,,Environmental Science,,,,,,,,,,,,,,,,,,
,,Foreign Languages,,,,,,,,,,,,,,,,,,
,,Chemistry,,,,,,,,,,,,,,,,,,
,,Agricultural Sciences,,,,,,,,,,,,,,,,,,
,,Food and Nutrition,,,,,,,,,,,,,,,,,,
,,Music,,,,,,,,,,,,,,,,,,
,,Architecture,,,,,,,,,,,,,,,,,,
,,Sociology,,,,,,,,,,,,,,,,,,
,,Drama,,,,,,,,,,,,,,,,,,
,,,American Football,,,,,,,,,,,,,,,,,
,,,Basketball,,,,,,,,,,,,,,,,,
,,,Soccer,,,,,,,,,,,,,,,,,
,,,Volleyball,,,,,,,,,,,,,,,,,
,,,Tennis,,,,,,,,,,,,,,,,,
,,,Cross Country,,,,,,,,,,,,,,,,,
,,,Swimming,,,,,,,,,,,,,,,,,
,,,Table Tennis,,,,,,,,,,,,,,,,,
,,,Track,,,,,,,,,,,,,,,,,
,,,Badminton,,,,,,,,,,,,,,,,,
,,,Hockey,,,,,,,,,,,,,,,,,
,,,Handball,,,,,,,,,,,,,,,,,
,,,golf,,,,,,,,,,,,,,,,,
,,,fencing,,,,,,,,,,,,,,,,,
,,,lacrosse,,,,,,,,,,,,,,,,,
,,,gymnastic,,,,,,,,,,,,,,,,,
,,,rowing,,,,,,,,,,,,,,,,,
,,,water polo,,,,,,,,,,,,,,,,,
,,,,"University of California, Berkeley",Berkeley,41910.0,1.0,121485.0,39376.0,,,,,,,,,,,
,,,,"University of California, Davis",Davis,35186.0,1.0,68543.0,35935.0,,,,,,,,,,,
,,,,"University of California, Irvine",Irvine,33467.0,1.0,273157.0,35363.0,,,,,,,,,,,
,,,,"University of California, Los Angeles",Los Angeles,44947.0,1.0,3967000.0,35793.0,,,,,,,,,,,
,,,,"University of California, Merced",Merced,8321.0,1.0,82662.0,35973.0,,,,,,,,,,,
,,,,"University of California, Riverside",Riverside,21539.0,1.0,326414.0,35387.0,,,,,,,,,,,
,,,,"University of California, San Diego",San Diego,35821.0,1.0,1410000.0,33849.0,,,,,,,,,,,
,,,,"University of California, Santa Barbara",Santa Barbara,24346.0,1.0,91376.0,36765.0,,,,,,,,,,,
,,,,"University of California, Santa Cruz",Santa Cruz,19457.0,1.0,64522.0,37297.0,,,,,,,,,,,
,,,,California State University Maritime Academy,Vallejo,1120.0,1.0,121267.0,28403.0,,,,,,,,,,,
,,,,California Polytechnic State University,San Luis Obispo,22440.0,1.0,47302.0,28927.0,,,,,,,,,,,
,,,,"California State Polytechnic University, Pomona",Pomona,27911.0,1.0,152209.0,28542.0,,,,,,,,,,,
,,,,"California State University, Bakersfield",Barkersfield,11397.0,1.0,377917.0,25031.0,,,,,,,,,,,
,,,,California State University Channel Islands,Camarillo,6943.0,1.0,68122.0,28966.0,,,,,,,,,,,
,,,,"California State University, Chico",Chico,16746.0,1.0,64529.0,25994.0,,,,,,,,,,,
,,,,"California State University, Dominguez Hills",Carson,18687.0,1.0,92079.0,24533.0,,,,,,,,,,,
,,,,"California State University, East Bay",Hayward,16064.0,1.0,159293.0,27248.0,,,,,,,,,,,
,,,,"California State University, Fresno",Fresno,22611.0,1.0,525010.0,21716.0,,,,,,,,,,,
,,,,"California State University, Fullerton",Fullerton,42051.0,1.0,139611.0,28043.0,,,,,,,,,,,
,,,,"California State University, Long Beach",Long Beach,38674.0,1.0,466776.0,25258.0,,,,,,,,,,,
,,,,"California State University, Los Angeles",Los Angeles,26745.0,1.0,3967000.0,28027.0,,,,,,,,,,,
,,,,"California State University, Monterey Bay",Seaside-Marina,6871.0,1.0,22781.0,24778.0,,,,,,,,,,,
,,,,"California State University, Northridge",Northridge,34741.0,1.0,70653.0,23654.0,,,,,,,,,,,
,,,,"California State University, Sacramento",Sacramento,28697.0,1.0,500930.0,27130.0,,,,,,,,,,,
,,,,"California State University, San Bernardino",San Bernardino,19182.0,1.0,216089.0,24860.0,,,,,,,,,,,
,,,,"California State University, San Marcos",San Marcos,14643.0,1.0,95355.0,25925.0,,,,,,,,,,,
,,,,"California State University, Stanislaus",Turlock,11163.0,1.0,72904.0,22824.0,,,,,,,,,,,
,,,,Humboldt State University,Arcata,5869.0,1.0,18178.0,25344.0,,,,,,,,,,,
,,,,San Diego State University,San Diego,31086.0,1.0,1410000.0,30522.0,,,,,,,,,,,
,,,,San Francisco State University,San Francisco,24025.0,1.0,874961.0,26987.0,,,,,,,,,,,
,,,,San Jose State University,San Jose,36000.0,1.0,1028000.0,30065.0,,,,,,,,,,,
,,,,Sonoma State University,Rohnert Park,7255.0,1.0,42902.0,24667.0,,,,,,,,,,,
,,,,"University of California, Hasting College of the Law",San Francisco,930.0,1.0,874961.0,44628.0,,,,,,,,,,,
,,,,"University of California, San Francisco",San Francisco,5825.0,1.0,874961.0,69612.0,,,,,,,,,,,
,,,,Azusa Pacific University,Azusa,10020.0,0.0,49753.0,56826.0,,,,,,,,,,,
,,,,Biola University ,La Mirada,6222.0,0.0,48764.0,59176.0,,,,,,,,,,,
,,,,California Institute of Technology,Pasadena,2238.0,0.0,141258.0,74763.0,,,,,,,,,,,
,,,,Chapman University,Orange,8305.0,0.0,139887.0,75112.0,,,,,,,,,,,
,,,,Fresno Pacific University,Fresno,3603.0,0.0,525010.0,47196.0,,,,,,,,,,,
,,,,Golden Gate University,San Francisco,2472.0,0.0,874961.0,16095.0,,,,,,,,,,,
,,,,Holy Names University,Oakland,1331.0,0.0,425097.0,59385.0,,,,,,,,,,,
,,,,La Sierra University,Riverside,2303.0,0.0,326414.0,47883.0,,,,,,,,,,,
,,,,Occidental College,Los Angeles,2055.0,0.0,3967000.0,76600.0,,,,,,,,,,,
,,,,Palo Alto University,Palo Alto,9368.0,0.0,66573.0,21750.0,,,,,,,,,,,
,,,,Santa Clara University,Santa Clara,9015.0,0.0,127721.0,74829.0,,,,,,,,,,,
,,,,Stanford University,Stanford,16914.0,0.0,16326.0,74570.0,,,,,,,,,,,
,,,,University of Southern California,Los Angeles,44000.0,0.0,3967000.0,77459.0,,,,,,,,,,,
,,,,Whitter College,Whittier,1700.0,0.0,86090.0,65668.0,,,,,,,,,,,
,,,,University of La Verne,La Verne,4883.0,0.0,32211.0,64050.0,,,,,,,,,,,
,,,,,,,,,,ayobobby,starwars1234,,,,,,,,,
,,,,,,,,,,mildred,marvelfan12,,,,,,,,,
,,,,,,,,,,randomrandom,password1234,,,,,,,,,
,,,,,,,,,,arianabig,wassup0000,,,,,,,,,
,,,,,,,,,,champagnepapi,Marvinsroom,,,,,,,,,
,,,,,,,,,,dontworryaboutit,toess1234,,,,,,,,,
,,,,,,,,,,eric,ucmerced1234,,,,,,,,,
,,,,,,,,,,johnsno,1234ucmerced,,,,,,,,,
,,,,,,,,,,moldybread,Lexuspass,,,,,,,,,
,,,,,,,,,,useruser,theboiuser,,,,,,,,,
,,,,,,,,,,JohnCena,Youcantseeme,,,,,,,,,
,,,,,,,,,,lilDurk,laughnow,,,,,,,,,
,,,,,,,,,,Beyonce,totheleft,,,,,,,,,
,,,,,,,,,,rock,asap,,,,,,,,,
,,,,,,,,,,baa_sheep,floridawomen,,,,,,,,,
,,,,,,,,,,ayobobby,starwars1234,ayo@bobby.com,12-31-99,5-20-17,3.0,CA,San Jose,Computer Science,,
,,,,,,,,,,mildred,marvelfan12,mildred@marvel.com,12-31-00,5-22-18,4.0,CA,Santa Clara,Biology,,
,,,,,,,,,,randomrandom,password1234,radom@password.com,1-22-01,5-25-19,3.5,NY,Auburn,Painting,,
,,,,,,,,,,arianabig,wassup0000,ariana@big.com,4-22-2003,5-20-2021,3.2,NY,New York,Nursing,,
,,,,,,,,,,champagnepapi,Marvinsroom,champagne@papi.com,7-4-95,5-27-13,2.5,FL,Tampa Bay,Computer Engineering,,
,,,,,,,,,,dontworryaboutit,toess1234,dont@worry.com,8-14-97,6-5-15,2.2,FL,Miami,Mechanical Engineering,,
,,,,,,,,,,eric,ucmerced1234,eric@uc.com,6-1-2000,5-22-2018,3.8,CA,San Diego,Pyschology,,
,,,,,,,,,,johnsno,1234ucmerced,john@sno.com,4-1-00,5-15-18,3.9,CA,Santa Rosa,Computer Science,,
,,,,,,,,,,moldybread,Lexuspass,moldy@lexus.com,10-05-97,4-29-15,3.3,WA,Seattle,Accounting,,
,,,,,,,,,,useruser,theboiuser,user@user.com,11-18-2001,6-12-19,3.4,KY,Fried,Business,,
,,,,,,,,,,JohnCena,Youcantseeme,John@Cena.com,5-12-99,4-29-2017,3.5,VA,San Francisco,Communications,,
,,,,,,,,,,lilDurk,laughnow,lil@Durk.com,9-30-94,5-5-12,2.7,NJ,Suburbs,Writing,,
,,,,,,,,,,Beyonce,totheleft,Beyonce@to.com,4-25-99,5-12-2017,3.9,CA,Los Angeles,English,,
,,,,,,,,,,rock,asap,rock@asap.com,2-15-89,4-15-2007,4.0,CA,Merced,Computer Science,,
,,,,,,,,,,baa_sheep,floridawomen,baa@florida.com,7-20-00,6-10-2018,4.0,CA,Turlock,Computer Science,,
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Business Administration
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Sociology
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",English
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Political Science
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",History
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Art
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Math
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Environmental Sciences
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Foreign Language
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Chemistry
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Music
,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",Architecture
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Business
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Music
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Education
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Communications
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, Davis",English
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Political Science
,,,,,,,,,,,,,,,,,,,"University of California, Davis",History
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Art
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Math
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Environmental Sciences
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Foreign Language
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Chemistry
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Agricultural Sciences
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Food Science
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Architecture
,,,,,,,,,,,,,,,,,,,"University of California, Davis",Sociology
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Business
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Nursing
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Education
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Criminal Science
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",English
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Political Science
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",History
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Art
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Math
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Environmental Sciences
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Foreign Language
,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Music
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Business
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Nursing
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Education
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Communications
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",English
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Political Science
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",History
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Art
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Music
,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles",Architecture
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Business
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Education
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, Merced",English
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Political Science
,,,,,,,,,,,,,,,,,,,"University of California, Merced",History
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Art
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Math
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Environmental Sciences
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Chemistry
,,,,,,,,,,,,,,,,,,,"University of California, Merced",Sociology
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Business
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Education
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",English
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",History
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Music
,,,,,,,,,,,,,,,,,,,"University of California, Riverside",Sociology
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Business
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Biology
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Education
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Communications
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",English
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Economics
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Political Science
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",History
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Art
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Math
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Environmental Sciences
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Foreign Language
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Chemistry
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Music
,,,,,,,,,,,,,,,,,,,"University of California, San Diego",Sociology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Communications
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",English
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Political Science
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",History
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Art
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Math
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Environmental Sciences
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Foreign Language
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Chemistry
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Music
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Architecture
,,,,,,,,,,,,,,,,,,,"University of California, Santa Barbara",Sociology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Psychology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Biology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Engineering
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Education
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Anthropology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",English
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Sociology
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Computer Science
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Economics
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",History
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Art
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Math
,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz",Chemistry
,,,,,,,,,,,,,,,,,,,California State University Maritime Academy,Engineering
,,,,,,,,,,,,,,,,,,,California State University Maritime Academy,Business
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Business
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Psychology
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Biology
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Engineering
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Communications
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Finance and Accounting
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Criminal Science
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Anthropology
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Computer Science
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,English
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Economics
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Political Science
